2021-07-24 18:10:53.7158 | TRACE | WebAPIClient.Program | Program started
2021-07-24 18:10:53.8596 | TRACE | WebAPIClient.Program | File created/checked
2021-07-24 18:10:53.8596 | TRACE | WebAPIClient.Program | File size in kbytes: 5120
2021-07-24 18:10:55.3923 | TRACE | WebAPIClient.Program | File added
2021-07-24 18:10:55.6509 | TRACE | WebAPIClient.Program | File received for the 1 time
2021-07-24 18:10:55.6509 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.25
2021-07-24 18:10:55.7042 | TRACE | WebAPIClient.Program | Average speed: 19896,43 Kb/sec; 19,43Mb/sec
2021-07-24 18:10:55.7675 | TRACE | WebAPIClient.Program | File received for the 2 time
2021-07-24 18:10:55.7675 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.06
2021-07-24 18:10:55.7675 | TRACE | WebAPIClient.Program | Average speed: 81873,63 Kb/sec; 79,95Mb/sec
2021-07-24 18:10:55.9431 | TRACE | WebAPIClient.Program | File received for the 3 time
2021-07-24 18:10:55.9431 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.17
2021-07-24 18:10:55.9431 | TRACE | WebAPIClient.Program | Average speed: 29511,67 Kb/sec; 28,82Mb/sec
2021-07-24 18:10:56.0241 | TRACE | WebAPIClient.Program | File received for the 4 time
2021-07-24 18:10:56.0241 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.07
2021-07-24 18:10:56.0527 | TRACE | WebAPIClient.Program | Average speed: 64451,32 Kb/sec; 62,94Mb/sec
2021-07-24 18:10:56.2880 | TRACE | WebAPIClient.Program | File received for the 5 time
2021-07-24 18:10:56.2880 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.23
2021-07-24 18:10:56.2880 | TRACE | WebAPIClient.Program | Average speed: 21820,92 Kb/sec; 21,31Mb/sec
2021-07-24 18:10:56.4570 | TRACE | WebAPIClient.Program | File received for the 6 time
2021-07-24 18:10:56.4570 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.16
2021-07-24 18:10:56.4570 | TRACE | WebAPIClient.Program | Average speed: 30583,36 Kb/sec; 29,87Mb/sec
2021-07-24 18:10:56.5547 | TRACE | WebAPIClient.Program | File received for the 7 time
2021-07-24 18:10:56.5547 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-24 18:10:56.5547 | TRACE | WebAPIClient.Program | Average speed: 53309,29 Kb/sec; 52,06Mb/sec
2021-07-24 18:10:56.6044 | TRACE | WebAPIClient.Program | File received for the 8 time
2021-07-24 18:10:56.6044 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.04
2021-07-24 18:10:56.6044 | TRACE | WebAPIClient.Program | Average speed: 106291,55 Kb/sec; 103,8Mb/sec
2021-07-24 18:10:56.6535 | TRACE | WebAPIClient.Program | File received for the 9 time
2021-07-24 18:10:56.6535 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.04
2021-07-24 18:10:56.6535 | TRACE | WebAPIClient.Program | Average speed: 107904,65 Kb/sec; 105,38Mb/sec
2021-07-24 18:10:56.7122 | TRACE | WebAPIClient.Program | File received for the 10 time
2021-07-24 18:10:56.7122 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.05
2021-07-24 18:10:56.7122 | TRACE | WebAPIClient.Program | Average speed: 89767,24 Kb/sec; 87,66Mb/sec
2021-07-24 18:10:56.7921 | TRACE | WebAPIClient.Program | File received for the 11 time
2021-07-24 18:10:56.7921 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.07
2021-07-24 18:10:56.7921 | TRACE | WebAPIClient.Program | Average speed: 65512,27 Kb/sec; 63,98Mb/sec
2021-07-24 18:10:56.8441 | TRACE | WebAPIClient.Program | File received for the 12 time
2021-07-24 18:10:56.8441 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.04
2021-07-24 18:10:56.8441 | TRACE | WebAPIClient.Program | Average speed: 104685,07 Kb/sec; 102,23Mb/sec
2021-07-24 18:10:56.9067 | TRACE | WebAPIClient.Program | File received for the 13 time
2021-07-24 18:10:56.9067 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.05
2021-07-24 18:10:56.9067 | TRACE | WebAPIClient.Program | Average speed: 85476,65 Kb/sec; 83,47Mb/sec
2021-07-24 18:10:57.0625 | TRACE | WebAPIClient.Program | File received for the 14 time
2021-07-24 18:10:57.0625 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.15
2021-07-24 18:10:57.0625 | TRACE | WebAPIClient.Program | Average speed: 33524,97 Kb/sec; 32,74Mb/sec
2021-07-24 18:10:57.2046 | TRACE | WebAPIClient.Program | File received for the 15 time
2021-07-24 18:10:57.2046 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.13
2021-07-24 18:10:57.2046 | TRACE | WebAPIClient.Program | Average speed: 36627,42 Kb/sec; 35,77Mb/sec
2021-07-24 18:10:57.2694 | TRACE | WebAPIClient.Program | File received for the 16 time
2021-07-24 18:10:57.2694 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.06
2021-07-24 18:10:57.2694 | TRACE | WebAPIClient.Program | Average speed: 83487,43 Kb/sec; 81,53Mb/sec
2021-07-24 18:10:57.3379 | TRACE | WebAPIClient.Program | File received for the 17 time
2021-07-24 18:10:57.3379 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.06
2021-07-24 18:10:57.3379 | TRACE | WebAPIClient.Program | Average speed: 77713,4 Kb/sec; 75,89Mb/sec
2021-07-24 18:10:57.3897 | TRACE | WebAPIClient.Program | File received for the 18 time
2021-07-24 18:10:57.3897 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.04
2021-07-24 18:10:57.3897 | TRACE | WebAPIClient.Program | Average speed: 104315,87 Kb/sec; 101,87Mb/sec
2021-07-24 18:10:57.4442 | TRACE | WebAPIClient.Program | File received for the 19 time
2021-07-24 18:10:57.4442 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.05
2021-07-24 18:10:57.4461 | TRACE | WebAPIClient.Program | Average speed: 98645,55 Kb/sec; 96,33Mb/sec
2021-07-24 18:10:57.4962 | TRACE | WebAPIClient.Program | File received for the 20 time
2021-07-24 18:10:57.4962 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.04
2021-07-24 18:10:57.4962 | TRACE | WebAPIClient.Program | Average speed: 103576 Kb/sec; 101,15Mb/sec
2021-07-24 18:10:57.5560 | TRACE | WebAPIClient.Program | File received for the 21 time
2021-07-24 18:10:57.5560 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.05
2021-07-24 18:10:57.5560 | TRACE | WebAPIClient.Program | Average speed: 88841,54 Kb/sec; 86,76Mb/sec
2021-07-24 18:10:57.6190 | TRACE | WebAPIClient.Program | File received for the 22 time
2021-07-24 18:10:57.6190 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.06
2021-07-24 18:10:57.6190 | TRACE | WebAPIClient.Program | Average speed: 84787,58 Kb/sec; 82,8Mb/sec
2021-07-24 18:10:57.6738 | TRACE | WebAPIClient.Program | File received for the 23 time
2021-07-24 18:10:57.6738 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.05
2021-07-24 18:10:57.6738 | TRACE | WebAPIClient.Program | Average speed: 98602,81 Kb/sec; 96,29Mb/sec
2021-07-24 18:10:57.7255 | TRACE | WebAPIClient.Program | File received for the 24 time
2021-07-24 18:10:57.7255 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.04
2021-07-24 18:10:57.7274 | TRACE | WebAPIClient.Program | Average speed: 103527,2 Kb/sec; 101,1Mb/sec
2021-07-24 18:10:57.7895 | TRACE | WebAPIClient.Program | File received for the 25 time
2021-07-24 18:10:57.7895 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.06
2021-07-24 18:10:57.7895 | TRACE | WebAPIClient.Program | Average speed: 82972,62 Kb/sec; 81,03Mb/sec
2021-07-24 18:10:57.8391 | TRACE | WebAPIClient.Program | File received for the 26 time
2021-07-24 18:10:57.8391 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.04
2021-07-24 18:10:57.8391 | TRACE | WebAPIClient.Program | Average speed: 108967,93 Kb/sec; 106,41Mb/sec
2021-07-24 18:10:57.8961 | TRACE | WebAPIClient.Program | File received for the 27 time
2021-07-24 18:10:57.8961 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.05
2021-07-24 18:10:57.8961 | TRACE | WebAPIClient.Program | Average speed: 94460,06 Kb/sec; 92,25Mb/sec
2021-07-24 18:10:57.9658 | TRACE | WebAPIClient.Program | File received for the 28 time
2021-07-24 18:10:57.9658 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.06
2021-07-24 18:10:57.9658 | TRACE | WebAPIClient.Program | Average speed: 76587,89 Kb/sec; 74,79Mb/sec
2021-07-24 18:10:58.0260 | TRACE | WebAPIClient.Program | File received for the 29 time
2021-07-24 18:10:58.0260 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.05
2021-07-24 18:10:58.0260 | TRACE | WebAPIClient.Program | Average speed: 90000,62 Kb/sec; 87,89Mb/sec
2021-07-24 18:10:58.0957 | TRACE | WebAPIClient.Program | File received for the 30 time
2021-07-24 18:10:58.0957 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.06
2021-07-24 18:10:58.0957 | TRACE | WebAPIClient.Program | Average speed: 76855,64 Kb/sec; 75,05Mb/sec
2021-07-24 18:10:58.1578 | TRACE | WebAPIClient.Program | File received for the 31 time
2021-07-24 18:10:58.1578 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.05
2021-07-24 18:10:58.1578 | TRACE | WebAPIClient.Program | Average speed: 86293,78 Kb/sec; 84,27Mb/sec
2021-07-24 18:10:58.2177 | TRACE | WebAPIClient.Program | File received for the 32 time
2021-07-24 18:10:58.2177 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.05
