2021-07-16 11:22:22.2182 | TRACE | WebAPIClient.Program | Program started
2021-07-16 11:22:22.2897 | TRACE | WebAPIClient.Program | File created/checked
2021-07-16 11:22:22.2897 | TRACE | WebAPIClient.Program | File size in kbytes: 5120
2021-07-16 11:22:23.1309 | TRACE | WebAPIClient.Program | File added
2021-07-16 11:22:23.4088 | TRACE | WebAPIClient.Program | File received for the 1 time
2021-07-16 11:22:23.4088 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.27
2021-07-16 11:22:23.4088 | TRACE | WebAPIClient.Program | Average speed: 18501,46 Kb/sec; 18,07Mb/sec
2021-07-16 11:22:23.5054 | TRACE | WebAPIClient.Program | File received for the 2 time
2021-07-16 11:22:23.5054 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-16 11:22:23.5054 | TRACE | WebAPIClient.Program | Average speed: 55350,93 Kb/sec; 54,05Mb/sec
2021-07-16 11:22:23.5870 | TRACE | WebAPIClient.Program | File received for the 3 time
2021-07-16 11:22:23.5870 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.07
2021-07-16 11:22:23.5870 | TRACE | WebAPIClient.Program | Average speed: 64748,66 Kb/sec; 63,23Mb/sec
2021-07-16 11:22:23.6704 | TRACE | WebAPIClient.Program | File received for the 4 time
2021-07-16 11:22:23.6704 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-16 11:22:23.6704 | TRACE | WebAPIClient.Program | Average speed: 62978,02 Kb/sec; 61,5Mb/sec
2021-07-16 11:22:23.8712 | TRACE | WebAPIClient.Program | File received for the 5 time
2021-07-16 11:22:23.8712 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.19
2021-07-16 11:22:23.8712 | TRACE | WebAPIClient.Program | Average speed: 25749,14 Kb/sec; 25,15Mb/sec
2021-07-16 11:22:24.1635 | TRACE | WebAPIClient.Program | File received for the 6 time
2021-07-16 11:22:24.1635 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.29
2021-07-16 11:22:24.1650 | TRACE | WebAPIClient.Program | Average speed: 17642 Kb/sec; 17,23Mb/sec
2021-07-16 11:22:24.2791 | TRACE | WebAPIClient.Program | File received for the 7 time
2021-07-16 11:22:24.2791 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.11
2021-07-16 11:22:24.2791 | TRACE | WebAPIClient.Program | Average speed: 45037,16 Kb/sec; 43,98Mb/sec
2021-07-16 11:22:24.3581 | TRACE | WebAPIClient.Program | File received for the 8 time
2021-07-16 11:22:24.3581 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.07
2021-07-16 11:22:24.3581 | TRACE | WebAPIClient.Program | Average speed: 66513,29 Kb/sec; 64,95Mb/sec
2021-07-16 11:22:24.4299 | TRACE | WebAPIClient.Program | File received for the 9 time
2021-07-16 11:22:24.4307 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.07
2021-07-16 11:22:24.4307 | TRACE | WebAPIClient.Program | Average speed: 73089,71 Kb/sec; 71,38Mb/sec
