2021-07-14 16:39:07.9127 | TRACE | WebAPIClient.Program | File received for the 21 time
2021-07-14 16:39:07.9127 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.13
2021-07-14 16:39:07.9127 | TRACE | WebAPIClient.Program | Average speed: 77745,5 Kb/sec; 75,92Mb/sec
2021-07-14 16:39:08.0490 | TRACE | WebAPIClient.Program | File received for the 22 time
2021-07-14 16:39:08.0490 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.13
2021-07-14 16:39:08.0490 | TRACE | WebAPIClient.Program | Average speed: 77098,85 Kb/sec; 75,29Mb/sec
2021-07-14 16:39:08.1796 | TRACE | WebAPIClient.Program | File received for the 23 time
2021-07-14 16:39:08.1796 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.12
2021-07-14 16:39:08.1824 | TRACE | WebAPIClient.Program | Average speed: 80690,09 Kb/sec; 78,8Mb/sec
2021-07-14 16:39:08.3229 | TRACE | WebAPIClient.Program | File received for the 24 time
2021-07-14 16:39:08.3229 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.13
2021-07-14 16:39:08.3229 | TRACE | WebAPIClient.Program | Average speed: 73337,25 Kb/sec; 71,62Mb/sec
2021-07-14 16:39:08.4594 | TRACE | WebAPIClient.Program | File received for the 25 time
2021-07-14 16:39:08.4594 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.13
2021-07-14 16:39:08.4594 | TRACE | WebAPIClient.Program | Average speed: 77950,51 Kb/sec; 76,12Mb/sec
2021-07-14 16:39:08.5814 | TRACE | WebAPIClient.Program | File received for the 26 time
2021-07-14 16:39:08.5814 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.11
2021-07-14 16:39:08.5814 | TRACE | WebAPIClient.Program | Average speed: 86547,74 Kb/sec; 84,52Mb/sec
2021-07-14 16:39:08.7394 | TRACE | WebAPIClient.Program | File received for the 27 time
2021-07-14 16:39:08.7394 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.15
2021-07-14 16:39:08.7394 | TRACE | WebAPIClient.Program | Average speed: 66209,49 Kb/sec; 64,66Mb/sec
2021-07-14 16:39:08.8722 | TRACE | WebAPIClient.Program | File received for the 28 time
2021-07-14 16:39:08.8722 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.12
2021-07-14 16:39:08.8722 | TRACE | WebAPIClient.Program | Average speed: 79071,16 Kb/sec; 77,22Mb/sec
2021-07-14 16:39:08.9896 | TRACE | WebAPIClient.Program | File received for the 29 time
2021-07-14 16:39:08.9896 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.11
2021-07-14 16:39:08.9896 | TRACE | WebAPIClient.Program | Average speed: 89956,1 Kb/sec; 87,85Mb/sec
2021-07-14 16:39:09.1300 | TRACE | WebAPIClient.Program | File received for the 30 time
2021-07-14 16:39:09.1300 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.13
2021-07-14 16:39:09.1300 | TRACE | WebAPIClient.Program | Average speed: 74524,92 Kb/sec; 72,78Mb/sec
2021-07-14 16:39:09.2467 | TRACE | WebAPIClient.Program | File received for the 31 time
2021-07-14 16:39:09.2467 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.11
2021-07-14 16:39:09.2467 | TRACE | WebAPIClient.Program | Average speed: 90762,52 Kb/sec; 88,64Mb/sec
2021-07-14 16:39:09.3640 | TRACE | WebAPIClient.Program | File received for the 32 time
2021-07-14 16:39:09.3640 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.11
2021-07-14 16:39:09.3640 | TRACE | WebAPIClient.Program | Average speed: 90590,93 Kb/sec; 88,47Mb/sec
2021-07-14 16:39:09.4842 | TRACE | WebAPIClient.Program | File received for the 33 time
2021-07-14 16:39:09.4842 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.11
